fnlwgt,sum
158156,112
36348,48
175935,221
120707,35
233954,40
129956,48
82283,40
131117,38
147265,80
139903,70
292472,180
187033,40
66624,60
252518,40
263899,32
155190,55
89413,120
137606,40
27466,40
239461,35
90907,40
252506,40
204338,70
91251,70
431245,90
248895,85
240676,40
232945,30
181313,30
220531,110
37987,45
340171,40
165982,50
126701,205
27444,136
149118,40
298539,55
102471,80
50248,40
95647,90
190179,40
214993,40
164835,25
507875,43
122000,60
82576,36
240888,40
178312,147
380219,40
102041,40
79728,40
129972,38
287233,40
118853,199
278637,45
197163,50
26671,40
324791,100
231919,45
107746,40
100579,40
188644,120
209899,47
375313,170
203784,62
260560,140
206046,80
60641,75
93717,45
101510,50
121253,70
357814,35
79787,25
75891,40
219307,40
156780,40
236481,10
263081,60
140569,60
280670,40
76043,1
159715,60
207352,40
123393,98
98675,20
264834,40
158704,20
308144,80
339814,40
177398,104
226883,155
92472,45
220776,75
278576,110
245465,30
334273,213
282398,75
144483,75
115323,87
49017,24
320196,40
356619,48
106347,214
26842,60
29841,40
35910,99
34125,28
71751,98
31627,20
160402,93
197218,18
181677,70
172826,63
38151,52
285060,91
37745,8
79445,40
193586,148
343061,40
336440,40
247936,2
141418,15
155913,44
245274,16
142566,40
165998,40
347089,16
186087,40
129879,40
388156,24
123612,4
265434,70
85319,60
124792,45
263746,24
243357,40
158200,40
147284,163
167915,40
54932,75
95256,50
1268339,40
121023,104
333541,24
75726,40
302195,40
260019,36
155489,530
76860,129
294485,30
102106,80
281403,98
163985,96
93604,32
47707,80
158702,45
197988,20
181652,80
166636,35
166715,20
53524,40
105376,40
240771,50
51259,47
178564,70
84619,40
34796,40
224059,80
173929,25
243373,40
91857,85
212027,40
150262,20
169638,36
104443,60
225456,180
114043,40
31740,220
173002,40
64860,22
76900,40
185436,70
400061,40
112291,12
405309,80
247734,30
73394,50
286824,12
223212,250
199655,70
96073,80
263608,40
108699,140
58098,40
178215,68
303510,40
286406,40
146674,90
401198,15
193241,78
229016,25
359543,40
280464,80
134746,75
205950,120
175931,124
42402,30
193172,50
77937,40
181031,60
34321,30
201732,80
371305,60
471452,38
125159,161
221977,40
218676,88
143868,40
52738,86
107112,30
126204,40
98989,116
174571,45
214169,80
266287,60
35459,40
243875,40
226913,20
37019,50
216595,20
288771,30
120910,35
60783,85
257295,115
191806,75
258470,40
39529,32
225652,50
61308,40
165667,100
149686,40
243786,37
168071,330
64643,60
82319,10
186845,103
195505,5
242391,140
160061,40
260847,30
141877,80
279881,40
115849,40
225548,30
168138,128
99364,40
89737,48
110556,40
41865,25
98779,60
152453,80
158077,40
27044,43
282604,104
177212,40
158206,60
479611,50
291702,40
108815,60
110243,85
299353,40
267952,36
74243,30
225779,40
189740,32
207668,329
341368,90
151967,58
33310,115
216666,80
184112,45
261422,40
179262,30
252986,88
229803,40
28160,80
37741,40
54243,60
102103,50
377836,40
319371,40
296516,50
163303,38
223830,38
306678,40
134069,60
85041,45
187693,112
373662,40
236136,40
74883,120
227571,40
199143,94
240137,165
222789,6
146103,45
189897,40
186815,90
149455,40
257876,40
128591,40
404573,84
441454,24
284898,30
21174,40
134813,52
30619,38
53893,80
92215,125
336188,80
233734,40
176836,60
185203,60
197380,40
297094,40
120478,1
32546,40
188377,40
153131,40
416165,32
141229,50
231972,20
142404,40
119929,40
89346,40
153790,80
289731,80
401118,50
187160,55
163678,95
373213,40
136935,13
298659,15
234780,40
114591,80
241021,40
27337,48
180187,6
56701,75
588905,40
209174,70
96586,80
55950,40
29675,12
188909,42
132057,20
335764,35
396595,40
45814,40
197036,40
141858,187
170244,40
316027,85
192302,25
181661,40
211035,30
255348,40
48718,40
118001,120
226902,265
57426,45
312353,20
249072,60
128676,40
340458,80
192670,20
201398,60
523095,45
187711,80
52921,3
185385,409
140516,120
263641,40
256278,30
167761,50
148690,2
186784,45
284080,40
179565,77
211005,60
99646,50
175044,40
266463,40
44777,46
128796,124
192583,30
210547,40
806316,20
252646,70
286911,38
55360,90
374163,100
184416,30
187802,130
201435,80
94334,25
95462,40
107916,40
220269,80
270379,40
391585,80
161708,170
90046,80
27382,40
181200,40
547886,40
95519,42
174887,46
196797,38
137314,165
341117,50
98765,40
183013,80
274198,38
195199,30
367200,40
81259,43
176761,40
176012,23
236601,48
316359,40
239404,45
186239,40
87239,100
28952,39
73498,40
131060,25
111020,40
124507,55
190772,80
72744,40
108887,65
106595,40
304779,40
129150,155
408531,40
114288,40
276568,40
397467,40
204536,35
267408,15
228608,40
216563,140
293136,35
47261,50
88904,40
259929,43
187502,74
75435,30
54782,82
296158,100
266467,65
200199,35
132551,35
32825,80
29974,40
588484,20
35783,60
106406,40
292023,75
261497,75
271571,50
165673,40
188808,115
187656,60
304076,20
100168,40
64960,45
216583,43
236627,2
252257,45
173730,178
183810,159
290213,40
205072,48
146477,125
340408,46
193741,30
338632,16
222142,40
133520,15
317219,60
147110,113
234953,25
133219,30
76008,50
42003,40
109004,40
192283,138
128065,45
42251,75
178344,30
203289,35
41506,40
207578,235
139116,50
274964,103
138542,35
405644,112
401930,42
175428,40
203051,27
264864,40
115896,40
34568,75
261062,40
116391,160
201930,50
99357,150
250674,60
108293,219
72793,15
200198,40
24139,65
129845,40
130534,40
132705,48
38158,40
160155,92
159938,64
343231,80
211668,40
101602,25
324922,50
369166,65
398827,60
308686,70
303155,90
149161,60
92969,40
240542,48
120064,45
76767,138
37482,40
188505,65
394534,6
233865,40
451940,40
337895,40
245193,60
31840,40
182451,40
105304,40
351141,40
172666,40
150226,35
449432,80
148444,25
318915,40
208534,80
161285,25
198801,45
317647,40
225473,35
167652,40
174684,40
329266,44
213975,70
262158,45
197252,40
98092,100
173858,282
419722,40
71489,25
79980,25
380281,25
23580,40
218955,80
379242,50
53181,55
100950,40
311269,40
366065,40
335248,40
523484,40
105616,48
76720,40
196975,85
145329,20
196386,40
425447,40
166697,40
118481,40
293305,40
240747,40
308540,40
136629,80
133278,93
192614,112
135645,60
236879,75
195779,1
182677,80
169953,40
393248,40
176017,15
229029,48
177705,182
367390,50
336763,42
171438,45
138514,88
272338,65
284706,60
220640,70
27433,70
269786,90
145592,40
262409,45
112160,40
174789,450
386397,105
219553,38
256992,15
217689,32
192591,45
161922,43
207937,130
105266,40
188300,80
262978,30
274683,50
116751,56
373499,60
117227,45
90196,45
136075,32
145576,40
254935,45
153405,25
254148,40
347890,40
39606,120
41496,45
228265,30
30509,100
49707,70
160776,40
30111,40
184016,100
181413,40
181015,97
219288,75
389725,80
178120,15
188842,24
156089,40
248619,40
466498,60
143533,40
388625,10
287548,55
90415,40
233802,45
94529,40
301867,119
138992,40
186213,50
36251,15
186420,140
324254,40
187728,50
239098,40
211129,45
76432,40
265706,140
212318,55
122042,45
145692,40
230704,82
493689,40
211242,55
211654,130
73211,20
138594,45
267717,87
240150,50
117627,40
137310,40
98361,310
167735,80
314659,42
36489,80
332884,65
738812,46
380127,80
250743,40
83242,60
118701,40
297296,40
336061,50
186634,90
111256,20
404661,40
161478,189
273402,40
143331,35
327164,115
197397,6
124487,40
513660,40
376302,80
216208,40
179981,64
137753,20
174856,40
318641,45
20469,52
462820,40
290964,40
280278,80
340588,54
35305,64
309230,40
57781,50
124293,50
216626,40
176647,40
197810,40
105787,76
268952,20
126822,110
236415,38
176981,50
194472,100
193830,20
81859,48
124356,60
98948,72
320084,55
673764,90
340982,40
256474,16
74054,20
184813,60
293690,58
20323,40
119386,60
80303,60
249409,40
157127,20
334291,180
64544,40
221884,50
227986,40
78181,50
202871,108
68954,11
40388,55
109080,115
111895,50
118725,72
284086,60
152754,40
256997,40
82804,40
186396,20
109917,40
465326,40
172297,40
188008,20
145664,48
135105,50
146788,40
179877,40
143162,40
376230,40
194504,40
275884,40
131827,40
253856,20
210474,105
81965,40
111700,70
177199,3
138285,80
210875,40
252897,65
128132,60
128460,82
266598,40
314727,35
190561,30
95864,35
238002,40
58359,50
134821,40
138705,53
202878,90
268598,50
158420,145
158642,20
106951,42
230816,30
31141,80
237729,112
112358,92
511668,43
144354,40
216436,30
225612,35
140176,24
198200,50
421132,40
108913,40
269499,8
230684,240
193116,45
136448,40
227968,35
186830,45
192654,90
272615,40
112283,115
194055,50
58305,80
117528,85
133454,90
192455,40
89011,50
208748,40
122385,40
203783,80
126003,40
187577,95
52114,10
190763,40
306352,40
327779,20
270693,30
149281,40
368947,40
130364,40
329425,88
184883,40
108019,40
197288,75
102884,70
82775,55
135840,150
28443,40
144071,118
242488,40
278039,100
91670,40
50474,40
334221,18
81853,135
264244,40
257557,40
72743,50
275369,35
137591,85
188544,30
87372,72
170850,242
34297,40
39890,18
109511,40
139576,40
451744,50
403276,40
77053,40
218962,40
272669,60
37778,279
382859,40
117747,75
278900,40
123816,40
144114,40
125525,42
26543,80
198943,35
117251,32
183627,138
28572,173
215908,40
175548,35
180138,145
22641,125
663394,40
75867,60
319889,25
260199,10
374833,40
494223,2
167979,15
165468,95
108419,40
28334,125
218136,40
352465,50
192712,105
217200,130
386019,70
24721,35
183854,25
316769,40
105289,20
61387,15
281832,40
242097,50
186831,45
184477,40
318822,115
84560,40
198997,20
105830,60
120201,65
421837,130
160984,15
120773,40
320047,40
466458,20
223752,40
98427,35
349154,40
421446,50
323798,145
255407,40
190429,60
254834,10
327202,40
202366,32
116531,80
62972,16
222529,65
158291,130
190748,35
295922,80
112200,45
585203,45
104097,100
286026,80
102663,50
411587,40
221603,34
102112,50
406078,25
190227,105
156822,25
105862,150
41591,30
409189,195
126592,80
137604,40
386331,50
284450,25
133770,50
171067,40
128016,155
225211,35
191529,100
201766,35
209057,140
154669,115
118605,55
87950,40
105943,40
44006,80
83141,93
66686,120
148509,105
131435,40
171150,150
22422,95
127738,40
150861,80
476653,20
52963,50
101299,165
144460,40
36671,50
124744,20
198870,35
146326,95
293971,40
130905,40
224947,80
157568,40
68748,48
57914,40
216864,45
192812,40
121718,212
134004,40
203628,105
213977,40
308136,80
218490,415
209641,32
207782,50
158118,40
100820,15
268051,25
33117,175
664366,60
635913,60
43770,72
96287,45
136398,50
135845,77
268840,16
217926,50
403552,32
225892,88
48102,90
180607,40
178025,40
181342,40
164023,70
304283,40
151580,125
272471,40
31532,40
137698,35
242094,40
74501,30
182998,10
314310,105
123677,40
99551,15
180539,10
134935,40
96129,172
30226,40
179314,40
205204,40
388849,60
94057,15
104790,50
168680,40
357540,80
33274,50
106546,40
337587,50
23157,60
43764,50
111676,40
110791,40
97969,40
137499,16
156334,40
190514,95
176063,150
118261,30
88470,40
265509,32
328981,40
348886,45
325744,40
267661,70
39764,40
176285,23
122609,40
260046,40
192923,40
206190,45
68872,20
235393,40
111891,115
311409,30
111398,40
169184,40
238342,82
168901,40
132973,38
127943,40
163385,35
156015,120
76845,75
250354,45
227615,72
159623,40
393376,40
115677,112
56630,40
50132,50
315868,40
91468,40
193231,100
30424,38
186269,80
134997,100
190319,40
253612,32
239120,13
391122,30
213249,25
153451,75
237873,40
393712,20
191069,40
373606,65
162943,40
402397,60
144056,40
408473,40
305759,40
179569,40
99270,170
520759,30
115989,60
194243,40
255941,50
102096,40
196280,50
438427,40
233193,27
273803,40
197919,140
257364,45
336951,149
203078,64
137214,37
384795,32
376474,72
118506,60
102470,40
350845,10
275116,40
181130,50
168514,40
98287,50
150980,40
151736,40
188540,180
254949,80
186943,8
185325,162
276218,40
175109,90
99761,15
409622,36
230961,80
180246,40
231638,144
97083,40
179271,50
186386,40
222635,40
205256,80
197418,68
89718,173
73684,40
379682,20
148532,60
317153,40
320744,135
246841,40
36135,8
222703,40
172740,40
136480,60
200862,35
271665,45
151159,99
180609,127
250541,28
124407,40
101364,40
46704,110
34102,35
33304,158
279231,40
60751,40
117363,145
88055,180
261725,115
177995,56
286967,90
241832,40
375452,48
59313,125
52372,20
203871,40
108256,40
266325,32
108574,95
211873,5
373263,40
158615,40
140729,35
286146,40
126199,50
63861,40
154205,10
263773,40
115579,38
104661,12
261059,140
108741,40
187720,181
276075,40
123044,60
118230,115
146272,15
223648,68
182687,85
104423,85
231238,80
179973,40
210438,80
174242,140
32896,35
189885,40
38819,86
304504,45
277455,40
170924,87
238397,24
270075,50
174283,140
146429,40
157525,48
371827,40
235109,120
252406,40
163352,121
95551,36
313573,25
151210,40
138269,40
64980,55
101825,85
165001,100
203836,180
117906,40
308242,40
548510,30
548256,80
126233,20
19302,222
545483,40
263128,60
204033,35
202467,80
411007,40
119471,136
57216,20
211920,40
85043,20
218956,64
195919,40
197613,70
168283,125
116677,120
205175,37
77634,111
301024,40
238287,40
199512,40
330901,40
202673,50
217902,40
178487,60
191295,48
353195,35
286310,40
204018,15
309055,35
90624,40
168625,52
255476,70
239439,80
121070,35
433705,52
109413,90
36984,50
155775,70
37359,110
187686,38
139098,40
144593,80
317320,40
167319,40
258406,72
199116,40
176663,40
119287,28
281074,40
199915,131
280282,24
134756,40
282631,40
183892,169
204928,40
301802,50
217886,36
186792,40
210926,80
40767,80
74784,140
230095,40
348588,25
191446,56
216921,70
139176,8
209292,32
141350,45
274276,40
196234,40
189238,42
308924,25
105817,95
289147,80
289669,80
255279,20
396758,70
177599,35
119565,120
340110,120
156843,54
155232,60
235168,60
200235,198
246011,55
295763,50
178596,50
198069,89
112956,40
91819,30
208068,112
367020,35
314347,40
184901,40
71438,20
165492,40
248186,38
90270,40
195994,135
117570,60
308205,140
246291,46
49092,80
284095,37
290286,40
156423,20
496538,40
229741,40
187746,40
120301,45
165827,115
145290,215
170544,40
373718,20
58985,24
296326,40
327434,20
209384,32
265954,80
54042,35
169662,82
227146,95
135102,110
246207,60
231287,40
200947,40
227359,82
381645,90
161016,32
215790,22
128392,40
173324,20
109638,85
247383,40
375827,40
292536,50
189749,80
55465,75
227551,40
344394,70
203180,45
48358,80
143865,59
420779,35
253814,185
88050,6
192932,40
149775,8
303867,174
186338,40
193530,75
117496,170
288437,40
190554,60
186446,40
117012,55
108557,100
110279,35
167615,40
156052,20
69757,60
181372,118
312197,75
89690,40
184693,20
216414,180
390657,80
128061,15
162358,50
56352,40
176296,100
242001,40
210802,35
63434,65
379819,40
127827,25
43003,20
226546,16
88120,40
220748,48
192453,25
164530,20
149726,136
357750,40
83237,55
25045,37
199419,80
102607,30
100453,38
132633,65
315476,40
119838,60
188957,40
260594,25
102359,257
153044,7
118736,20
233882,40
70539,50
210026,40
121318,20
181716,48
50171,10
454843,40
88642,15
96468,40
143068,90
226985,50
241259,40
273243,40
157932,120
286675,190
114813,40
210452,83
149466,35
222989,30
291968,124
289748,48
212800,76
173647,40
115443,65
157165,40
59969,35
425785,40
366531,40
102684,32
41517,20
62124,40
257380,35
210029,97
57924,90
193960,40
141727,40
196125,80
194548,3
42900,137
219189,25
42617,30
310152,120
118523,40
146565,30
145917,30
201375,40
197651,43
266624,40
271567,40
170579,40
408788,40
302465,40
102726,16
282622,28
83748,70
388496,8
195820,40
163862,140
163237,217
25240,40
308498,55
187356,107
94692,70
271714,30
494638,15
268482,40
94395,40
319149,40
21792,10
159770,40
204600,40
207505,70
238257,50
261230,40
125684,40
234721,40
325355,40
196674,55
119539,60
205474,40
185216,40
85399,40
52781,120
59590,20
152900,20
88922,40
173649,40
167777,87
296537,45
71269,90
303817,40
113760,30
148143,40
200733,95
130834,40
228960,40
301835,40
165278,102
378707,20
86459,100
140957,35
450246,40
280618,80
376133,15
164749,40
341353,15
96792,32
25803,95
190305,50
172220,30
436341,40
30267,110
35723,210
299291,44
84136,25
243560,80
95909,12
90377,60
265356,80
38771,40
187618,50
29115,60
176689,40
212918,70
109969,20
169699,115
133974,80
383384,140
498785,80
90980,55
213611,24
51579,110
86551,263
106967,40
211265,35
213296,118
258517,25
251240,40
255582,80
47170,48
176690,24
243607,40
139822,40
220055,40
238638,80
195467,40
158641,40
246936,40
162601,40
31264,75
73895,10
78529,207
212276,60
26290,38
221966,95
746786,55
208478,18
293565,40
73773,24
220786,60
172401,40
254859,20
169240,78
283116,50
287658,190
509500,45
119281,110
195262,52
249909,50
108116,150
72310,178
24106,150
177639,40
276249,40
857532,80
142871,50
419394,9
193036,40
230417,40
179508,55
112181,84
